passage	time	value
1	0.025306	1608.856572
1	0.035306	1466.967384
1	0.045306	2002.939785
1	0.055306	769.77472
1	0.065306	775.42151
1	0.075306	768.279201
1	0.085306	768.163435
1	0.095306	825.623266
1	0.105306	834.361639
1	0.115306	839.482477
1	0.125306	837.517173
1	0.135306	858.655134
1	0.145306	821.56489
1	0.155306	794.025938
1	0.165306	816.649586
1	0.175306	750.867953
1	0.185306	688.799897
1	0.195306	696.625797
1	0.205306	730.965006
1	0.215306	683.071052
1	0.225306	583.408212
1	0.235306	654.199767
1	0.245306	598.159444
1	0.255306	558.809772
1	0.265306	536.885508
1	0.275306	618.10915
1	0.285306	571.891052
1	0.295306	564.946
1	0.305306	587.691859
1	0.315306	592.551936
1	0.325306	587.052584
1	0.335306	602.669855
1	0.345306	564.875204
1	0.355306	542.778514
1	0.365306	513.086551
1	0.375306	410.652338
1	0.385306	351.609513
1	0.395306	446.295192
1	0.405306	580.857878
1	0.415306	370.170695
1	0.425306	349.77414
1	0.435306	668.651542
1	0.445306	648.650763
1	0.455306	703.247583
1	0.465306	1911.601073
1	0.475306	1843.562001
1	0.485306	1766.75183
1	0.495306	1828.022819
1	0.505306	1688.083941
1	0.515306	1711.198141
1	0.525306	1693.023983
1	0.535306	1600.886351
1	0.545306	1643.867613
1	0.555306	1658.438789
1	0.565306	1582.549419
1	0.575306	1494.675351
1	0.585306	355.034301
1	0.595306	405.513971
1	0.605306	414.844773
1	0.615306	450.220376
1	0.625306	471.883264
1	0.635306	470.069075
1	0.645306	461.212557
1	0.655306	462.683225
1	0.665306	463.580074
1	0.675306	446.242513
1	0.685306	434.08097
1	0.695306	417.106685
1	0.705306	399.015708
1	0.715306	396.748059
1	0.725306	387.283682
1	0.735306	298.135701
1	0.745306	2307.314771
1	0.755306	2076.452506
1	0.765306	2009.35003
1	0.775306	600.317373
1	0.785306	2098.94327
1	0.795306	2075.400102
1	0.805306	1971.518986
1	0.815306	2139.660351
1	0.825306	358.616614
1	0.835306	409.725208
1	0.845306	438.600357
1	0.855306	433.060727
1	0.865306	421.551085
1	0.875306	408.039511
1	0.885306	402.03126
1	0.895306	405.950806
1	0.905306	378.158105
1	0.915306	388.888958
1	0.925306	324.081885
1	0.935306	294.604413
1	0.945306	2697.976322
1	0.955306	455.664406
1	0.965306	328.767545
1	0.975306	443.609982
1	0.985306	406.747933
1	0.995306	445.655564
1	1.005306	479.740926
1	1.015306	494.276123
1	1.025306	501.723043
1	1.035306	502.101802
1	1.045306	488.509293
1	1.055306	476.78255
1	1.065306	455.015696
1	1.075306	382.20301
1	1.085306	404.385748
1	1.095306	435.07766
1	1.105306	469.526332
1	1.115306	481.817082
1	1.125306	492.809823
1	1.135306	494.757275
1	1.145306	494.531926
1	1.155306	486.692014
1	1.165306	477.512173
1	1.175306	463.451112
1	1.185306	444.404112
1	1.195306	438.603689
1	1.205306	430.100099
1	1.215306	414.717252
1	1.225306	400.136303
1	1.235306	396.989632
1	1.245306	419.805693
1	1.255306	428.546385
1	1.265306	427.127184
1	1.275306	414.276477
1	1.285306	431.411176
1	1.295306	431.595869
1	1.305306	421.590141
1	1.315306	413.296384
1	1.325306	416.112579
1	1.335306	369.598982
1	1.345306	342.951138
1	1.355306	346.523377
1	1.365306	300.254319
1	1.375306	2336.269383
1	1.385306	1728.737133
1	1.395306	1646.934323
1	1.405306	599.530645
1	1.415306	1630.976275
1	1.425306	1430.875797
1	1.435306	401.553561
1	1.445306	450.61815
1	1.455306	489.263528
1	1.465306	491.902471
1	1.475306	491.867871
1	1.485306	489.865266
1	1.495306	497.328636
1	1.505306	513.568417
1	1.515306	504.4658
1	1.525306	499.324836
1	1.535306	489.805133
1	1.545306	489.25394
1	1.555306	479.874671
1	1.565306	449.344212
1	1.575306	496.575392
1	1.585306	475.974286
1	1.595306	454.72311
1	1.605306	440.250376
1	1.615306	417.502363
1	1.625306	429.846183
1	1.635306	428.748101
1	1.645306	406.43228
1	1.655306	414.150825
1	1.665306	408.472093
1	1.675306	421.492459
1	1.685306	441.587737
1	1.695306	436.569194
1	1.705306	420.299756
1	1.715306	383.621989
1	1.725306	359.881488
1	1.735306	328.244757
1	1.745306	265.809107
1	1.755306	228.643045
1	1.765306	194.766738
1	1.775306	195.972045
1	1.785306	2241.356779
1	1.795306	2046.994737
1	1.805306	1934.779766
1	1.815306	1994.401707
1	1.825306	2541.68333
1	1.835306	2006.512193
1	1.845306	1983.647542
1	1.855306	1950.925633
1	1.865306	1957.148626
1	1.875306	255.630016
1	1.885306	431.024337
1	1.895306	485.148217
1	1.905306	542.280673
1	1.915306	583.303311
1	1.925306	600.808313
1	1.935306	620.639245
1	1.945306	630.976561
1	1.955306	639.305315
1	1.965306	652.85906
1	1.975306	654.088033
1	1.985306	649.857682
1	1.995306	647.434462
1	2.005306	688.674665
1	2.015306	710.961253
1	2.025306	614.350449
1	2.035306	541.853858
1	2.045306	513.749267
1	2.055306	520.982098
1	2.065306	554.206436
1	2.075306	544.319929
1	2.085306	525.549542
1	2.095306	527.736066
1	2.105306	490.059885
1	2.115306	507.324356
1	2.125306	510.671001
1	2.135306	478.641761
1	2.145306	476.281729
1	2.155306	471.100875
1	2.165306	464.084543
1	2.175306	455.022671
1	2.185306	448.463509
1	2.195306	441.895072
1	2.205306	431.214701
1	2.215306	430.218478
1	2.225306	425.035296
1	2.235306	426.023383
1	2.245306	425.737355
1	2.255306	420.508788
1	2.265306	420.693144
1	2.275306	418.30968
1	2.285306	410.392046
1	2.295306	407.111271
1	2.305306	403.402559
1	2.315306	389.151143
1	2.325306	415.098913
1	2.335306	429.494135
1	2.345306	457.664014
1	2.355306	2160.465831
1	2.365306	2100.778095
1	2.375306	1875.152512
1	2.385306	1864.889893
1	2.395306	1549.706513
1	2.405306	321.242442
1	2.415306	1287.776515
1	2.425306	1668.905184
1	2.435306	481.287842
1	2.445306	512.836215
1	2.455306	652.752285
1	2.465306	631.714043
1	2.475306	618.32883
1	2.485306	644.900014
1	2.495306	695.836334
1	2.505306	750.343292
1	2.515306	729.904257
1	2.525306	706.23343
1	2.535306	677.880517
1	2.545306	709.512873
1	2.555306	700.631695
1	2.565306	651.610404
1	2.575306	632.321131
1	2.585306	592.037527
1	2.595306	566.462265
1	2.605306	558.822983
1	2.615306	537.900977
1	2.625306	532.693681
1	2.635306	523.049791
1	2.645306	525.476957
1	2.655306	521.558764
1	2.665306	526.825418
1	2.675306	519.172645
1	2.685306	519.855527
1	2.695306	521.600767
1	2.705306	503.248794
1	2.715306	494.420924
1	2.725306	493.315484
1	2.735306	490.957251
1	2.745306	485.460351
1	2.755306	469.251611
1	2.765306	474.126126
1	2.775306	441.763522
1	2.785306	423.467646
1	2.795306	395.348134
1	2.805306	463.189459
1	2.815306	372.376504
1	2.825306	439.617355
