passage	time	value
1	0.044973	57.949686
1	0.055639	66.552549
1	0.066306	71.44104
1	0.076973	73.827128
1	0.087639	74.749311
1	0.098306	75.064924
1	0.108973	75.374758
1	0.119639	75.536489
1	0.130306	75.603712
1	0.140973	75.594506
1	0.151639	75.240947
1	0.162306	74.67314
1	0.172973	73.681193
1	0.183639	72.973215
1	0.194306	73.268891
1	0.204973	73.667638
1	0.215639	73.674893
1	0.226306	73.803706
1	0.236973	74.184051
1	0.247639	74.053522
1	0.258306	73.943791
1	0.268973	74.06306
1	0.279639	74.060615
1	0.290306	74.145637
1	0.300973	74.156458
1	0.311639	74.018597
1	0.322306	73.972659
1	0.332973	74.117251
1	0.343639	74.254686
1	0.354306	74.000545
1	0.364973	73.196299
1	0.375639	71.553283
1	0.386306	68.55814
1	0.396973	65.10962
1	0.407639	65.587168
1	0.418306	66.836813
1	0.428973	66.728518
1	0.439639	66.013915
1	0.450306	65.006541
1	0.460973	64.183237
1	0.471639	64.429187
1	0.482306	65.221372
1	0.492973	64.08467
1	0.503639	60.214195
1	0.514306	55.558374
1	0.524973	52.424669
1	0.535639	49.703806
1	0.546306	47.637857
1	0.556973	47.096726
1	0.567639	50.635434
1	0.578306	59.669523
1	0.588973	66.269751
1	0.599639	69.689428
1	0.610306	71.214827
1	0.620973	72.05142
1	0.631639	72.369435
1	0.642306	71.996452
1	0.652973	70.80185
1	0.663639	68.652685
1	0.674306	66.070548
1	0.684973	63.844622
1	0.695639	61.911215
1	0.706306	60.850608
1	0.716973	60.339592
1	0.727639	59.230442
1	0.738306	56.571934
1	0.748973	52.150788
1	0.759639	47.987242
1	0.770306	44.533919
1	0.780973	41.888231
1	0.791639	44.472961
1	0.802306	50.251615
1	0.812973	58.288837
1	0.823639	64.353904
1	0.834306	67.79027
1	0.844973	69.160911
1	0.855639	69.188813
1	0.866306	68.446515
1	0.876973	67.209486
1	0.887639	65.15993
1	0.898306	62.394704
1	0.908973	60.067885
1	0.919639	58.485027
1	0.930306	56.344013
1	0.940973	53.357412
1	0.951639	52.075183
1	0.962306	55.960142
1	0.972973	63.036858
1	0.983639	67.870483
1	0.994306	70.790247
1	1.004973	72.97483
1	1.015639	74.222612
1	1.026306	74.436384
1	1.036973	73.971984
1	1.047639	72.846523
1	1.058306	70.941856
1	1.068973	69.351555
1	1.079639	69.231255
1	1.090306	69.329439
1	1.100973	69.260796
1	1.111639	69.61752
1	1.122306	70.300297
1	1.132973	70.653418
1	1.143639	70.757971
1	1.154306	70.84119
1	1.164973	70.997559
1	1.175639	71.187464
1	1.186306	71.138427
1	1.196973	70.905414
1	1.207639	70.84752
1	1.218306	70.742495
1	1.228973	70.309204
1	1.239639	69.778127
1	1.250306	69.085238
1	1.260973	67.920151
1	1.271639	66.382644
1	1.282306	64.489206
1	1.292973	63.368059
1	1.303639	64.066196
1	1.314306	64.75717
1	1.324973	64.48564
1	1.335639	63.034593
1	1.346306	60.594435
1	1.356973	57.279453
1	1.367639	52.010553
1	1.378306	45.497466
1	1.388973	44.237993
1	1.399639	49.97377
1	1.410306	56.200721
1	1.420973	64.200926
1	1.431639	70.275125
1	1.442306	72.783429
1	1.452973	73.224435
1	1.463639	73.691796
1	1.474306	73.997164
1	1.484973	73.356172
1	1.495639	72.116461
1	1.506306	71.459669
1	1.516973	70.722671
1	1.527639	68.865226
1	1.538306	66.086835
1	1.548973	63.183765
1	1.559639	61.361059
1	1.570306	58.175453
1	1.580973	53.375864
1	1.591639	51.675267
1	1.602306	52.946281
1	1.612973	54.044887
1	1.623639	55.453274
1	1.634306	59.227603
1	1.644973	61.811986
1	1.655639	62.288772
1	1.666306	62.034958
1	1.676973	61.750905
1	1.687639	61.448663
1	1.698306	61.17578
1	1.708973	60.957848
1	1.719639	61.05039
1	1.730306	61.457713
1	1.740973	61.849895
1	1.751639	61.831539
1	1.762306	61.456313
1	1.772973	60.789929
1	1.783639	59.681529
1	1.794306	58.221399
1	1.804973	56.425456
1	1.815639	54.476718
1	1.826306	53.14338
1	1.836973	52.803607
1	1.847639	54.029791
1	1.858306	56.441594
1	1.868973	61.865417
1	1.879639	67.911502
1	1.890306	71.729549
1	1.900973	73.202963
1	1.911639	73.21804
1	1.922306	73.258023
1	1.932973	73.760497
1	1.943639	74.195308
1	1.954306	74.445722
1	1.964973	74.282703
1	1.975639	74.20318
1	1.986306	74.586199
1	1.996973	74.644601
1	2.007639	74.451433
1	2.018306	74.409567
1	2.028973	74.315676
1	2.039639	74.552311
1	2.050306	74.918295
1	2.060973	75.130358
1	2.071639	75.269544
1	2.082306	74.898834
1	2.092973	74.533655
1	2.103639	74.267593
1	2.114306	73.592213
1	2.124973	73.054623
1	2.135639	73.229198
1	2.146306	73.637161
1	2.156973	74.100773
1	2.167639	74.270927
1	2.178306	74.22999
1	2.188973	74.058298
1	2.199639	73.73055
1	2.210306	73.568904
1	2.220973	73.365881
1	2.231639	72.971276
1	2.242306	72.483443
1	2.252973	72.151826
1	2.263639	71.966123
1	2.274306	71.489716
1	2.284973	70.045822
1	2.295639	67.120226
1	2.306306	62.813951
1	2.316973	57.418941
1	2.327639	52.384104
1	2.338306	50.290293
1	2.348973	52.123299
1	2.359639	55.021974
1	2.370306	55.403661
1	2.380973	55.209149
1	2.391639	59.352674
1	2.402306	63.085752
1	2.412973	64.547158
1	2.423639	64.54085
1	2.434306	64.581034
1	2.444973	65.307603
1	2.455639	66.27946
1	2.466306	66.965598
1	2.476973	67.268316
1	2.487639	67.77139
1	2.498306	68.964314
1	2.508973	70.391388
1	2.519639	71.074074
1	2.530306	71.104487
1	2.540973	71.308856
1	2.551639	71.422045
1	2.562306	71.098225
1	2.572973	70.75306
1	2.583639	70.510587
1	2.594306	70.303995
1	2.604973	70.292741
1	2.615639	70.535439
1	2.626306	70.816434
1	2.636973	70.906828
1	2.647639	70.873868
1	2.658306	70.842417
1	2.668973	70.782327
1	2.679639	70.783673
1	2.690306	70.644943
1	2.700973	70.225133
1	2.711639	70.057884
1	2.722306	70.223474
1	2.732973	70.379481
1	2.743639	70.441691
1	2.754306	70.245822
1	2.764973	69.508809
1	2.775639	68.135711
1	2.786306	65.919792
1	2.796973	62.541618
1	2.807639	59.483107
1	2.818306	59.445287
1	2.828973	62.338674
1	2.839639	65.178375
1	2.850306	67.483212
1	2.860973	68.673948
1	2.871639	67.934061
1	2.882306	65.917957
1	2.892973	62.691725
1	2.903639	57.712759
1	2.914306	51.626653
1	2.924973	48.23618
1	2.935639	48.919302
1	2.946306	50.578747
1	2.956973	52.445785
1	2.967639	55.116688
1	2.978306	58.24821
1	2.988973	60.434311
1	2.999639	61.835253
1	3.010306	62.821494
1	3.020973	62.658513
1	3.031639	62.106115
1	3.042306	61.91161
1	3.052973	61.567075
1	3.063639	61.208531
1	3.074306	61.397328
1	3.084973	60.996393
1	3.095639	59.155468
1	3.106306	56.19672
1	3.116973	57.994206
1	3.127639	65.981778
1	3.138306	70.645742
1	3.148973	71.541691
1	3.159639	69.592413
1	3.170306	66.862575
1	3.180973	65.320478
1	3.191639	65.029179
1	3.202306	66.380067
1	3.212973	69.418679
1	3.223639	72.275885
1	3.234306	73.937446
1	3.244973	74.478625
1	3.255639	74.219106
1	3.266306	73.619032
1	3.276973	73.094782
1	3.287639	72.810717
1	3.298306	72.737642
1	3.308973	72.646072
1	3.319639	72.249415
1	3.330306	71.355132
1	3.340973	69.743238
1	3.351639	67.116885
1	3.362306	63.451042
1	3.372973	66.326931
1	3.383639	72.428406
1	3.394306	75.813553
1	3.404973	76.595687
1	3.415639	75.480918
1	3.426306	74.218689
1	3.436973	73.880473
1	3.447639	73.823666
1	3.458306	73.790354
1	3.468973	73.698744
1	3.479639	73.427309
1	3.490306	72.936767
1	3.500973	72.332724
1	3.511639	71.770618
1	3.522306	71.622171
1	3.532973	71.934617
1	3.543639	72.263627
1	3.554306	72.590296
1	3.564973	73.156033
1	3.575639	73.875954
1	3.586306	74.675957
1	3.596973	75.292327
1	3.607639	75.749711
1	3.618306	76.201876
1	3.628973	76.049781
1	3.639639	74.502506
1	3.650306	70.731016
1	3.660973	64.82075
1	3.671639	60.70873
1	3.682306	59.867525
1	3.692973	59.595479
1	3.703639	60.197152
1	3.714306	62.42475
1	3.724973	63.801644
1	3.735639	63.551637
1	3.746306	62.418972
1	3.756973	60.939677
1	3.767639	59.354857
1	3.778306	63.007982
1	3.788973	69.372814
1	3.799639	72.724906
1	3.810306	73.436011
1	3.820973	72.294719
1	3.831639	70.023081
1	3.842306	67.23272
1	3.852973	64.315633
1	3.863639	62.148148
1	3.874306	61.381864
1	3.884973	61.121483
1	3.895639	61.195977
1	3.906306	63.229765
1	3.916973	65.393409
1	3.927639	64.3597
1	3.938306	59.33506
1	3.948973	51.391227
1	3.959639	46.016459
1	3.970306	46.216583
1	3.980973	49.725444
1	3.991639	53.022999
1	4.002306	54.516484
1	4.012973	60.4412
1	4.023639	67.507977
1	4.034306	70.603124
1	4.044973	71.074911
1	4.055639	70.839344
1	4.066306	70.342943
1	4.076973	69.715182
1	4.087639	69.391307
1	4.098306	69.361795
1	4.108973	69.527993
1	4.119639	69.657614
1	4.130306	69.49274
1	4.140973	68.997335
1	4.151639	68.553578
1	4.162306	68.453853
1	4.172973	68.356204
1	4.183639	67.968324
1	4.194306	67.62293
1	4.204973	67.556354
1	4.215639	67.381087
1	4.226306	66.863453
1	4.236973	66.250766
1	4.247639	65.786832
1	4.258306	65.559979
1	4.268973	65.343402
1	4.279639	65.374434
1	4.290306	65.89412
1	4.300973	67.168409
1	4.311639	68.991248
1	4.322306	70.411209
1	4.332973	71.177297
1	4.343639	70.898862
1	4.354306	69.122518
1	4.364973	65.921884
1	4.375639	62.905234
1	4.386306	61.686365
1	4.396973	61.438901
1	4.407639	60.587165
1	4.418306	58.89238
1	4.428973	57.170984
1	4.439639	56.518902
1	4.450306	63.176106
1	4.460973	69.561881
1	4.471639	72.39482
1	4.482306	72.693422
1	4.492973	71.921228
1	4.503639	70.751538
1	4.514306	70.006324
1	4.524973	70.259449
1	4.535639	70.553749
1	4.546306	70.284119
1	4.556973	69.685168
1	4.567639	69.085162
1	4.578306	68.683738
1	4.588973	68.575304
1	4.599639	68.530421
1	4.610306	68.172049
1	4.620973	67.533256
1	4.631639	66.951513
1	4.642306	66.745977
1	4.652973	66.472236
1	4.663639	65.807005
1	4.674306	64.654637
1	4.684973	63.145378
1	4.695639	61.149207
1	4.706306	58.740575
1	4.716973	54.938238
1	4.727639	49.448966
1	4.738306	44.807916
1	4.748973	41.554861
1	4.759639	39.239505
1	4.770306	39.33152
1	4.780973	46.546542
1	4.791639	52.858643
1	4.802306	56.691275
1	4.812973	61.565075
1	4.823639	64.687126
1	4.834306	65.241877
1	4.844973	64.674543
1	4.855639	64.31266
1	4.866306	64.646896
1	4.876973	65.12175
1	4.887639	66.075806
1	4.898306	66.981835
1	4.908973	67.185044
1	4.919639	67.098975
1	4.930306	66.910554
1	4.940973	65.911063
1	4.951639	63.559601
1	4.962306	60.002129
1	4.972973	55.66501
1	4.983639	51.6677
1	4.994306	48.655103
1	5.004973	48.351976
1	5.015639	52.83722
1	5.026306	58.045649
1	5.036973	61.066456
1	5.047639	62.500553
1	5.058306	63.164399
1	5.068973	63.316009
1	5.079639	63.052259
1	5.090306	62.625569
1	5.100973	62.69383
1	5.111639	63.622217
1	5.122306	64.943058
1	5.132973	65.891271
1	5.143639	66.358945
1	5.154306	66.274692
1	5.164973	65.751727
1	5.175639	64.486229
1	5.186306	61.806793
1	5.196973	58.757979
1	5.207639	56.920186
1	5.218306	56.158643
1	5.228973	58.405283
1	5.239639	63.507033
1	5.250306	67.747007
1	5.260973	69.671349
1	5.271639	69.858894
1	5.282306	69.422005
1	5.292973	68.375845
1	5.303639	66.782954
1	5.314306	65.777602
1	5.324973	65.694505
1	5.335639	65.876346
1	5.346306	65.878112
1	5.356973	65.674383
1	5.367639	65.483948
1	5.378306	65.386752
1	5.388973	65.157155
1	5.399639	64.949615
1	5.410306	64.938104
1	5.420973	65.056538
1	5.431639	65.208149
1	5.442306	65.133191
1	5.452973	65.032531
1	5.463639	65.494352
1	5.474306	66.815716
1	5.484973	68.138464
1	5.495639	68.585212
1	5.506306	68.867176
1	5.516973	69.364303
1	5.527639	69.794985
1	5.538306	70.082783
1	5.548973	70.214863
1	5.559639	70.194334
1	5.570306	69.901283
1	5.580973	69.254517
1	5.591639	67.919132
1	5.602306	65.296445
1	5.612973	61.080691
1	5.623639	56.251103
1	5.634306	52.397525
1	5.644973	49.241956
1	5.655639	47.427036
1	5.666306	46.622098
1	5.676973	45.48601
1	5.687639	43.644412
1	5.698306	41.680631
1	5.708973	41.468232
1	5.719639	49.665116
1	5.730306	57.657292
1	5.740973	61.14606
1	5.751639	61.355675
1	5.762306	60.919893
1	5.772973	60.932876
1	5.783639	60.291807
1	5.794306	60.663805
1	5.804973	62.451741
1	5.815639	63.117102
1	5.826306	63.255825
1	5.836973	63.458114
1	5.847639	63.350682
1	5.858306	62.371508
1	5.868973	61.39281
1	5.879639	61.43296
1	5.890306	60.324842
