passage	time	value
1	0.046	1
1	0.562721	0
1	0.784543	1
1	1.256929	0
1	1.352925	0
1	1.616327	1
1	2.310749	1
1	2.799918	0
1	2.938712	1
1	3.30449	0
1	3.484082	0
1	3.654596	1
1	4.106667	0
1	4.274286	0
1	4.398799	1
1	4.785961	0
1	4.908844	0
1	5.034329	1
1	5.435647	1
1	5.890613	0
1	6.051306	1
1	7.147755	1
1	7.380186	0
1	7.4995	1
1	7.957925	0
		0
1	8.261225	1
1	8.560545	0
1	8.776055	0
1	8.88381	1
1	9.231021	0
1	9.31483	1
1	9.709932	0
1	9.961361	1
1	10.811429	0
1	10.926947	0
1	11.014966	0
1	11.29034	0
1	11.422041	1
1	11.928449	0
1	12.033452	1
1	12.882923	0
1	13.013482	0
1	13.777672	0
1	13.943927	0
1	14.110704	0
1	14.226852	0
1	14.407012	1
1	14.726531	0
1	14.822313	0
1	15.034115	1
1	15.430794	1
1	15.847213	1
1	16.232225	0
1	16.567652	1
1	17.109154	0
1	17.266659	1
1	19.526536	0
1	19.721958	0
1	19.926131	0
1	20.17415	1
1	20.928436	0
1	21.024218	0
1	21.269652	0
1	21.50313	1
1	22.165075	0
1	22.413062	0
1	22.641249	
1	22.736327	0
1	22.927891	0
1	23.382857	0
1	23.51412	0
1	23.598368	1
1	23.897687	1
1	24.161089	1
1	24.364626	0
1	24.483259	1
1	24.735783	1
1	25.059048	1
1	25.541189	0
1	25.680794	1
1	26.878912	0
1	27.142313	0
1	27.314162	1
1	27.776871	0
1	27.884626	1
1	28.255783	0
1	28.376346	1
1	28.818504	1
1	29.297415	0
1	29.477007	0
1	29.608708	1
1	29.872109	0
1	29.95905	1
1	30.36463	0
1	30.458776	1
1	30.840804	0
1	31.021497	0
1	31.177122	1
1	31.512381	0
1	31.586956	1
1	32.833264	0
1	33.035638	1
1	34.074558	0
1	34.190765	1
1	34.565443	1
1	34.972517	0
1	35.140136	1
1	35.511293	1
1	35.945261	1
1	36.157823	1
1	36.564898	0
1	36.768436	
1	38.468572	0
1	38.632328	0
1	38.80381	1
1	39.174966	0
1	39.468477	1
1	40.04898	1
1	40.773225	0
1	40.934966	0
1	41.820953	0
1	42.042964	0
1	42.204082	1
1	42.611157	1
1	42.802721	0
1	42.900757	0
1	43.133433	1
1	43.473198	1
1	43.784524	0
1	43.954431	0
1	44.059864	0
1	44.155647	1
1	44.466939	0
1	44.632655	1
1	44.802177	0
1	44.909932	1
1	45.258174	1
1	45.496599	0
1	45.689575	0
1	46.805793	0
1	46.935658	1
1	47.651701	0
1	47.771429	1
1	48.307503	0
1	48.372361	0
1	48.573606	0
		1
1	48.718395	1
1	50.06082	0
1	50.180945	0
1	50.361373	1
1	50.602707	0
1	50.724997	0
1	51.051973	1
1	51.722449	0
1	51.818232	1
1	52.213334	0
1	52.333062	0
1	52.553259	0
1	52.92836	0
1	53.150214	0
1	53.386667	0
1	53.557126	0
1	53.793742	1
1	54.12898	0
1	54.368436	0
1	54.691701	0
1	54.823402	0
1	55.050885	0
1	55.146667	1
1	55.626219	0
1	55.734441	0
1	55.885951	1
1	56.195464	1
1	56.439728	1
2	0.479839572	0
2	0.592424402	0
2	0.810806402	0
2	0.912952402	1
2	1.415810402	1
2	1.918667402	1
2	2.385605402	0
2	2.557777402	1
2	3.211728402	0
2	3.431803402	0
2	3.595218402	0
2	3.790771402	1
2	4.384907402	1
2	5.637331402	0
2	5.747717402	1
2	6.073224402	0
2	6.286257402	0
2	6.887374402	0
2	6.992943402	0
2	7.150775402	1
2	7.541223402	0
2	8.467782402	1
2	8.946694402	1
2	9.365741402	0
2	9.557306402	0
2	9.696188402	1
2	10.1080544	0
2	10.3256874	0
2	10.4425664	1
2	10.8503674	0
2	11.3053334	0
2	11.3771704	1
2	12.1913204	0
2	12.3150514	0
2	12.4278374	0
2	12.5354954	1
2	12.9096874	1
2	13.3209554	1
2	13.7505944	0
2	13.8315924	1
2	14.2027484	0
2	14.3713834	0
2	14.7563734	0
2	14.8570194	1
2	15.2922724	1
2	15.8430204	0
