passage	time	value
1	0.046	8.65
1	0.562721	14.56
1	0.784543	10.69
1	1.256929	16.35
1	1.352925	13.79
1	1.616327	13.28
1	2.310749	9.86
1	2.799918	16.21
1	2.938712	10.08
1	3.30449	14.4
1	3.484082	13.3
1	3.654596	9.75
1	4.106667	15.08
1	4.274286	16.96
1	4.398799	12.88
1	4.785961	16.19
1	4.908844	16.21
1	5.034329	12.03
1	5.435647	11.99
1	5.890613	16.35
1	6.051306	14.12
1	7.147755	12.15
1	7.380186	14.78
1	7.4995	10.74
1	7.957925	13.1
		13.53
1	8.261225	6.48
1	8.560545	13.24
1	8.776055	16.96
1	8.88381	12.16
1	9.231021	13.3
1	9.31483	9.75
1	9.709932	14.56
1	9.961361	11.54
1	10.811429	14.57
1	10.926947	15.37
1	11.014966	13.53
1	11.29034	13.96
1	11.422041	10.46
1	11.928449	14.78
1	12.033452	8.44
1	12.882923	15.9
1	13.013482	15.37
1	13.777672	16.19
1	13.943927	14.1
1	14.110704	15.68
1	14.226852	16.96
1	14.407012	13.43
1	14.726531	16.21
1	14.822313	16.18
1	15.034115	12.16
1	15.430794	12.07
1	15.847213	8.65
1	16.232225	12.45
1	16.567652	10.46
1	17.109154	14.78
1	17.266659	8.44
1	19.526536	14.05
1	19.721958	13.1
1	19.926131	14.56
1	20.17415	10.29
1	20.928436	15.9
1	21.024218	13.3
1	21.269652	12.56
1	21.50313	11.78
1	22.165075	14.79
1	22.413062	13.22
1	22.641249	14.79
1	22.736327	13.1
1	22.927891	13.21
1	23.382857	15.42
1	23.51412	16.96
1	23.598368	10.85
1	23.897687	12.38
1	24.161089	12.51
1	24.364626	13.3
1	24.483259	12
1	24.735783	13.28
1	25.059048	7.09
1	25.541189	16.19
1	25.680794	10.72
1	26.878912	11.63
1	27.142313	16.96
1	27.314162	9.73
1	27.776871	16.21
1	27.884626	11.69
1	28.255783	16.18
1	28.376346	7.19
1	28.818504	10.06
1	29.297415	14.06
1	29.477007	14.95
1	29.608708	11.31
1	29.872109	16.96
1	29.95905	10.81
1	30.36463	16.21
1	30.458776	11.99
1	30.840804	13.74
1	31.021497	16.19
1	31.177122	9.07
1	31.512381	16.96
1	31.586956	5.7
1	32.833264	13.76
1	33.035638	9.96
1	34.074558	16.18
1	34.190765	11.92
1	34.565443	8.66
1	34.972517	14.97
1	35.140136	9.48
1	35.511293	10.97
1	35.945261	10.34
1	36.157823	11.35
1	36.564898	14.4
1	36.768436	0
1	38.468572	14.09
1	38.632328	14.56
1	38.80381	11.99
1	39.174966	14.05
1	39.468477	13.28
1	40.04898	8.36
1	40.773225	14.5
1	40.934966	15.48
1	41.820953	10.91
1	42.042964	12.85
1	42.204082	8.65
1	42.611157	13.39
1	42.802721	15.37
1	42.900757	14.05
1	43.133433	13.28
1	43.473198	13.09
1	43.784524	13.9
1	43.954431	16.21
1	44.059864	16.96
1	44.155647	13.1
1	44.466939	16.35
1	44.632655	11.41
1	44.802177	16.96
1	44.909932	8.66
1	45.258174	12.79
1	45.496599	16.35
1	45.689575	11.24
1	46.805793	11.64
1	46.935658	10.29
1	47.651701	11.64
1	47.771429	10.29
1	48.307503	15.79
1	48.372361	11
1	48.573606	14.95
		12.87
1	48.718395	10.92
1	50.06082	13.76
1	50.180945	13.1
1	50.361373	12.07
1	50.602707	15.37
1	50.724997	13.02
1	51.051973	8.92
1	51.722449	15.37
1	51.818232	9.388
1	52.213334	16.35
1	52.333062	13.3
1	52.553259	15.48
1	52.92836	13.1
1	53.150214	9.63
1	53.386667	16.35
1	53.557126	14.92
1	53.793742	9.12
1	54.12898	14.5
1	54.368436	14.99
1	54.691701	14.57
1	54.823402	14.5
1	55.050885	16.96
1	55.146667	13.58
1	55.626219	15.37
1	55.734441	14.35
1	55.885951	10.54
1	56.195464	11.95
1	56.439728	10.72
2	0.479839572	14.57
2	0.592424402	13.76
2	0.810806402	16.96
2	0.912952402	8.66
2	1.415810402	12.19
2	1.918667402	11.38
2	2.385605402	16.18
2	2.557777402	10.95
2	3.211728402	13.9
2	3.431803402	16.21
2	3.595218402	12.87
2	3.790771402	4.078
2	4.384907402	9.28
2	5.637331402	16.19
2	5.747717402	11.07
2	6.073224402	14.5
2	6.286257402	15.37
2	6.887374402	16.19
2	6.992943402	13.47
2	7.150775402	6.41
2	7.541223402	15.08
2	8.467782402	8.65
2	8.946694402	11.5
2	9.365741402	16.35
2	9.557306402	13.3
2	9.696188402	10.6
2	10.1080544	15.42
2	10.3256874	15.37
2	10.4425664	6.98
2	10.8503674	11.04
2	11.3053334	13.3
2	11.3771704	11.78
2	12.1913204	15.48
2	12.3150514	13.1
2	12.4278374	13.53
2	12.5354954	12.62
2	12.9096874	12.75
2	13.3209554	11.99
2	13.7505944	16.18
2	13.8315924	8.66
2	14.2027484	14.97
2	14.3713834	12.17
2	14.7563734	16.18
2	14.8570194	4.078
2	15.2922724	9.28
2	15.8430204	14.78
2	16.1249724	16.18
2	16.1782584	10.95
2	16.5853334	16.35
2	16.7050614	12.71
2	16.9804354	13.9
2	17.1816424	16.21
2	17.3169194	15.37
2	18.0100954	16.19
2	18.2734974	9.2
2	18.6566264	14.97
2	18.8172454	8.44
2	20.0813884	13.1
2	20.2968984	10.34
2	20.5483274	11.04
2	20.9434294	16.96
2	21.0392114	11.29
2	21.4103674	12.93
2	21.8665724	15.37
2	22.4041094	16.19
2	22.5977474	8.927
2	23.5894154	14.56
2	23.8647894	13.84
2	24.2479184	15.9
2	24.3796194	13.58
2	24.6888614	16.35
2	24.7866944	13.27
2	24.9782584	15.37
2	25.1339054	10.04
2	25.4691434	12.59
