passage	time	value
1	0.046	13
1	0.562721	4
1	0.784543	9
1	1.256929	1
1	1.352925	5
1	1.616327	6
1	2.310749	11
1	2.799918	1
1	2.938712	10
1	3.30449	4
1	3.484082	6
1	3.654596	11
1	4.106667	3
1	4.274286	1
1	4.398799	6
1	4.785961	1
1	4.908844	1
1	5.034329	7
1	5.435647	8
1	5.890613	1
1	6.051306	4
1	7.147755	7
1	7.380186	3
1	7.4995	9
1	7.957925	6
1	8.261225	16
1	8.560545	6
1	8.776055	1
1	8.88381	7
1	9.231021	6
1	9.31483	11
1	9.709932	4
1	9.961361	8
1	10.811429	4
1	10.926947	2
1	11.014966	5
1	11.29034	5
1	11.422041	10
1	11.928449	3
1	12.033452	13
1	12.882923	2
1	13.013482	2
1	13.777672	1
1	13.943927	4
1	14.110704	2
1	14.226852	1
1	14.407012	5
1	14.726531	1
1	14.822313	1
1	15.034115	7
1	15.430794	7
1	15.847213	13
1	16.232225	7
1	16.567652	10
1	17.109154	3
1	17.266659	13
1	19.526536	4
1	19.721958	6
1	19.926131	4
1	20.17415	10
1	20.928436	2
1	21.024218	6
1	21.269652	7
1	21.50313	8
1	22.165075	3
1	22.413062	6
1	22.641249	3
1	22.736327	6
1	22.927891	6
1	23.382857	2
1	23.51412	1
1	23.598368	9
1	23.897687	7
1	24.161089	7
1	24.364626	6
1	24.483259	7
1	24.735783	6
1	25.059048	15
1	25.541189	1
1	25.680794	9
1	26.878912	8
1	27.142313	1
1	27.314162	11
1	27.776871	1
1	27.884626	8
1	28.255783	1
1	28.376346	15
1	28.818504	10
1	29.297415	4
1	29.477007	3
1	29.608708	9
1	29.872109	1
1	29.95905	9
1	30.36463	1
1	30.458776	8
1	30.840804	5
1	31.021497	1
1	31.177122	12
1	31.512381	1
1	31.586956	17
1	32.833264	5
1	33.035638	11
1	34.074558	1
1	34.190765	8
1	34.565443	12
1	34.972517	3
1	35.140136	11
1	35.511293	9
1	35.945261	10
1	36.157823	8
1	36.564898	4
1	36.768436	25
1	38.468572	4
1	38.632328	4
1	38.80381	8
1	39.174966	4
1	39.468477	6
1	40.04898	13
1	40.773225	4
1	40.934966	2
1	41.820953	9
1	42.042964	6
1	42.204082	13
1	42.611157	5
1	42.802721	2
1	42.900757	4
1	43.133433	6
1	43.473198	6
1	43.784524	5
1	43.954431	1
1	44.059864	1
1	44.155647	6
1	44.466939	1
1	44.632655	8
1	44.802177	1
1	44.909932	12
1	45.258174	6
1	45.496599	1
1	45.689575	9
1	46.805793	8
1	46.935658	10
1	47.651701	8
1	47.771429	10
1	48.307503	2
1	48.372361	9
1	48.573606	3
1	48.718395	9
1	50.06082	5
1	50.180945	6
1	50.361373	7
1	50.602707	2
1	50.724997	6
1	51.051973	12
1	51.722449	2
1	51.818232	11
1	52.213334	1
1	52.333062	6
1	52.553259	2
1	52.92836	6
1	53.150214	11
1	53.386667	1
1	53.557126	3
1	53.793742	12
1	54.12898	4
1	54.368436	3
1	54.691701	4
1	54.823402	4
1	55.050885	1
1	55.146667	5
1	55.626219	2
1	55.734441	4
1	55.885951	10
1	56.195464	8
1	56.439728	9
2	0.479839572	4
2	0.592424402	5
2	0.810806402	1
2	0.912952402	12
2	1.415810402	7
2	1.918667402	8
2	2.385605402	1
2	2.557777402	9
2	3.211728402	5
2	3.431803402	1
2	3.595218402	6
2	3.790771402	19
2	4.384907402	12
2	5.637331402	1
2	5.747717402	9
2	6.073224402	4
2	6.286257402	2
2	6.887374402	1
2	6.992943402	5
2	7.150775402	16
2	7.541223402	3
2	8.467782402	13
2	8.946694402	8
2	9.365741402	1
2	9.557306402	6
2	9.696188402	10
2	10.1080544	2
2	10.3256874	2
2	10.4425664	15
2	10.8503674	9
2	11.3053334	6
2	11.3771704	8
2	12.1913204	2
2	12.3150514	6
2	12.4278374	5
2	12.5354954	7
2	12.9096874	6
2	13.3209554	8
2	13.7505944	1
2	13.8315924	12
2	14.2027484	3
2	14.3713834	7
2	14.7563734	1
2	14.8570194	19
2	15.2922724	12
2	15.8430204	3
2	16.1249724	1
2	16.1782584	9
2	16.5853334	1
2	16.7050614	6
2	16.9804354	5
2	17.1816424	1
2	17.3169194	2
2	18.0100954	1
2	18.2734974	12
2	18.6566264	3
2	18.8172454	13
