passage	time	value
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	0.060306	205.246862
1	0.070306	208.301725
1	0.080306	210.600275
1	0.090306	214.149307
1	0.100306	216.810947
1	0.110306	217.611319
1	0.120306	218.444942
1	0.130306	219.741689
1	0.140306	222.16956
1	0.150306	226.004195
1	0.160306	229.378193
1	0.170306	231.703689
1	0.180306	238.150198
1	0.190306	244.182213
1	0.200306	250.614293
1	0.210306	254.577635
1	0.220306	257.685631
1	0.230306	267.172093
1	0.240306	270.915676
1	0.250306	274.36884
1	0.260306	279.024453
1	0.270306	283.339405
1	0.280306	286.445771
1	0.290306	289.724115
1	0.300306	291.831262
1	0.310306	293.486328
1	0.320306	295.3903
1	0.330306	297.069208
1	0.340306	297.349162
1	0.350306	296.312288
1	0.360306	293.867513
1	0.370306	290.198361
1	0.380306	283.833727
1	0.390306	286.355249
1	0.400306	286.639709
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	0.590306	184.732347
1	0.600306	179.945832
1	0.610306	174.919076
1	0.620306	171.099058
1	0.630306	168.146615
1	0.640306	164.984781
1	0.650306	161.40108
1	0.660306	158.594613
1	0.670306	155.085906
1	0.680306	153.409655
1	0.690306	152.063677
1	0.700306	147.964027
1	0.710306	147.390852
1	0.720306	147.266266
1	0.730306	147.101385
1	0.740306	146.589148
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	0.820306	161.3581
1	0.830306	156.828209
1	0.840306	156.264321
1	0.850306	156.353641
1	0.860306	155.562087
1	0.870306	154.455061
1	0.880306	153.493951
1	0.890306	151.369454
1	0.900306	147.6016
1	0.910306	145.289053
1	0.920306	143.836247
1	0.930306	143.279729
1	0.940306	147.051462
1	0.950306	149.88478
1	0.960306	149.923176
1	0.970306	173.140903
1	0.980306	171.834337
1	0.990306	169.288262
1	1.000306	169.582556
1	1.010306	171.145787
1	1.020306	172.103839
1	1.030306	172.861291
1	1.040306	172.807367
1	1.050306	172.072481
1	1.060306	170.093043
1	1.070306	170.344155
1	1.080306	172.80949
1	1.090306	173.002838
1	1.100306	172.33641
1	1.110306	172.688512
1	1.120306	173.416988
1	1.130306	173.087052
1	1.140306	172.172021
1	1.150306	171.50883
1	1.160306	170.677792
1	1.170306	170.219586
1	1.180306	170.157127
1	1.190306	169.979255
1	1.200306	169.358691
1	1.210306	169.096889
1	1.220306	168.825327
1	1.230306	168.164508
1	1.240306	167.839337
1	1.250306	166.849521
1	1.260306	165.64879
1	1.270306	163.901969
1	1.280306	159.751979
1	1.290306	152.356029
1	1.300306	150.573472
1	1.310306	149.199565
1	1.320306	147.130872
1	1.330306	144.481337
1	1.340306	140.525027
1	1.350306	136.216332
1	1.360306	133.475107
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	1.430306	177.936888
1	1.440306	175.5517
1	1.450306	171.440402
1	1.460306	167.734101
1	1.470306	166.592795
1	1.480306	164.184315
1	1.490306	160.112224
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	1.520306	411.24959
1	1.530306	476.342003
1	1.540306	481.784083
1	1.550306	473.31025
1	1.560306	454.836707
1	1.570306	441.051501
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
1	--undefined--	--undefined--
