passage	time	value
1	0.046	1
1	0.146	0
1	0.562721	1
1	0.662721	0
1	0.784543	1
1	0.884543	0
1	1.256929	1
1	1.352925	1
1	1.452925	0
1	1.616327	1
1	1.716327	0
1	2.310749	1
1	2.410749	0
1	2.799918	1
1	2.899918	0
1	2.938712	1
1	3.038712	0
1	3.30449	1
1	3.40449	0
1	3.484082	1
1	3.584082	0
1	3.654596	1
1	3.754596	0
1	4.106667	1
1	4.206667	0
1	4.274286	1
1	4.374286	0
1	4.398799	1
1	4.498799	0
1	4.785961	1
1	4.885961	0
1	4.908844	1
1	5.008844	0
1	5.034329	1
1	5.134329	0
1	5.435647	1
1	5.535647	0
1	5.890613	1
1	5.990613	0
1	6.051306	1
1	6.151306	0
1	7.147755	1
1	7.247755	0
1	7.380186	1
1	7.480186	0
1	7.4995	1
1	7.5995	0
1	7.957925	1
1	8.057925	0
		1
1	8.261225	1
1	8.361225	0
1	8.560545	1
1	8.660545	0
1	8.776055	1
1	8.876055	0
1	8.88381	1
1	8.98381	0
1	9.231021	1
1	9.31483	1
1	9.41483	0
1	9.709932	1
1	9.809932	0
1	9.961361	1
1	10.061361	0
1	10.811429	1
1	10.911429	0
1	10.926947	1
1	11.014966	1
1	11.114966	0
1	11.29034	1
1	11.39034	0
1	11.422041	1
1	11.522041	0
1	11.928449	1
1	12.028449	0
1	12.033452	1
1	12.133452	0
1	12.882923	1
1	12.982923	0
1	13.013482	1
1	13.113482	0
1	13.777672	1
1	13.877672	0
1	13.943927	1
1	14.043927	0
1	14.110704	1
1	14.210704	0
1	14.226852	1
1	14.326852	0
1	14.407012	1
1	14.507012	0
1	14.726531	1
1	14.822313	1
1	14.922313	0
1	15.034115	1
1	15.134115	0
1	15.430794	1
1	15.530794	0
1	15.847213	1
1	15.947213	0
1	16.232225	1
1	16.332225	0
1	16.567652	1
1	16.667652	0
1	17.109154	1
1	17.209154	0
1	17.266659	1
1	17.366659	0
1	19.526536	1
1	19.626536	0
1	19.721958	1
1	19.821958	0
1	19.926131	1
1	20.026131	0
1	20.17415	1
1	20.27415	0
1	20.928436	1
1	21.024218	1
1	21.124218	0
1	21.269652	1
1	21.369652	0
1	21.50313	1
1	21.60313	0
1	22.165075	1
1	22.265075	0
1	22.413062	1
1	22.513062	0
1	22.641249	1
1	22.736327	1
1	22.836327	0
1	22.927891	1
1	23.027891	0
1	23.382857	1
1	23.482857	0
1	23.51412	1
1	23.598368	1
1	23.698368	0
1	23.897687	1
1	23.997687	0
1	24.161089	1
1	24.261089	0
1	24.364626	1
1	24.464626	0
1	24.483259	1
1	24.583259	0
1	24.735783	1
1	24.835783	0
1	25.059048	1
1	25.159048	0
1	25.541189	1
1	25.641189	0
1	25.680794	1
1	25.780794	0
1	26.878912	1
1	26.978912	0
1	27.142313	1
1	27.242313	0
1	27.314162	1
1	27.414162	0
1	27.776871	1
1	27.876871	0
1	27.884626	1
1	27.984626	0
1	28.255783	1
1	28.355783	0
1	28.376346	1
1	28.476346	0
1	28.818504	1
1	28.918504	0
1	29.297415	1
1	29.397415	0
1	29.477007	1
1	29.577007	0
1	29.608708	1
1	29.708708	0
1	29.872109	1
1	29.95905	1
1	30.05905	0
1	30.36463	1
1	30.458776	1
1	30.558776	0
1	30.840804	1
1	30.940804	0
1	31.021497	1
1	31.121497	0
1	31.177122	1
1	31.277122	0
1	31.512381	1
1	31.586956	1
1	31.686956	0
1	32.833264	1
1	32.933264	0
1	33.035638	1
1	33.135638	0
1	34.074558	1
1	34.174558	0
1	34.190765	1
1	34.290765	0
1	34.565443	1
1	34.665443	0
1	34.972517	1
1	35.072517	0
1	35.140136	1
1	35.240136	0
1	35.511293	1
1	35.611293	0
1	35.945261	1
1	36.045261	0
1	36.157823	1
1	36.257823	0
1	36.564898	1
1	36.664898	0
1	36.768436	1
1	36.868436	0
1	38.468572	1
1	38.568572	0
1	38.632328	1
1	38.732328	0
1	38.80381	1
1	38.90381	0
1	39.174966	1
1	39.274966	0
1	39.468477	1
1	39.568477	0
1	40.04898	1
1	40.14898	0
1	40.773225	1
1	40.873225	0
1	40.934966	1
1	41.034966	0
1	41.820953	1
1	41.920953	0
1	42.042964	1
1	42.142964	0
1	42.204082	1
1	42.304082	0
1	42.611157	1
1	42.711157	0
1	42.802721	1
1	42.900757	1
1	43.000757	0
1	43.133433	1
1	43.233433	0
1	43.473198	1
1	43.573198	0
1	43.784524	1
1	43.884524	0
1	43.954431	1
1	44.054431	0
1	44.059864	1
1	44.155647	1
1	44.255647	0
1	44.466939	1
1	44.566939	0
1	44.632655	1
1	44.732655	0
1	44.802177	1
1	44.902177	0
1	44.909932	1
1	45.009932	0
1	45.258174	1
1	45.358174	0
1	45.496599	1
1	45.596599	0
1	45.689575	1
1	45.789575	0
1	46.805793	1
1	46.905793	0
1	46.935658	1
1	47.035658	0
1	47.651701	1
1	47.751701	0
1	47.771429	1
1	47.871429	0
1	48.307503	1
1	48.372361	1
1	48.472361	0
1	48.573606	1
1	48.673606	0
		1
1	48.718395	1
1	48.818395	0
1	50.06082	1
1	50.16082	0
1	50.180945	1
1	50.280945	0
1	50.361373	1
1	50.461373	0
1	50.602707	1
1	50.702707	0
1	50.724997	1
1	50.824997	0
1	51.051973	1
1	51.151973	0
1	51.722449	1
1	51.818232	1
1	51.918232	0
1	52.213334	1
1	52.313334	0
1	52.333062	1
1	52.433062	0
1	52.553259	1
1	52.653259	0
1	52.92836	1
1	53.02836	0
1	53.150214	1
1	53.250214	0
1	53.386667	1
1	53.486667	0
1	53.557126	1
1	53.657126	0
1	53.793742	1
1	53.893742	0
1	54.12898	1
1	54.22898	0
1	54.368436	1
1	54.468436	0
1	54.691701	1
1	54.791701	0
1	54.823402	1
1	54.923402	0
1	55.050885	1
1	55.146667	1
1	55.246667	0
1	55.626219	1
1	55.726219	0
1	55.734441	1
1	55.834441	0
1	55.885951	1
1	55.985951	0
1	56.195464	1
1	56.295464	0
1	56.439728	1
1	56.539728	0
2	0.479839572	1
2	0.579839572	0
2	0.592424402	1
2	0.692424402	0
2	0.810806402	1
2	0.910806402	0
2	0.912952402	1
2	1.012952402	0
2	1.415810402	1
2	1.515810402	0
2	1.918667402	1
2	2.018667402	0
2	2.385605402	1
2	2.485605402	0
2	2.557777402	1
2	2.657777402	0
2	3.211728402	1
2	3.311728402	0
2	3.431803402	1
2	3.531803402	0
2	3.595218402	1
2	3.695218402	0
2	3.790771402	1
2	3.890771402	0
2	4.384907402	1
2	4.484907402	0
2	5.637331402	1
2	5.737331402	0
2	5.747717402	1
2	5.847717402	0
2	6.073224402	1
2	6.173224402	0
2	6.286257402	1
2	6.386257402	0
2	6.887374402	1
2	6.987374402	0
2	6.992943402	1
2	7.092943402	0
2	7.150775402	1
2	7.250775402	0
2	7.541223402	1
2	7.641223402	0
2	8.467782402	1
2	8.567782402	0
2	8.946694402	1
2	9.046694402	0
2	9.365741402	1
2	9.465741402	0
2	9.557306402	1
2	9.657306402	0
2	9.696188402	1
2	9.796188402	0
2	10.1080544	1
2	10.2080544	0
2	10.3256874	1
2	10.4256874	0
2	10.4425664	1
2	10.5425664	0
2	10.8503674	1
2	10.9503674	0
2	11.3053334	1
2	11.3771704	1
2	11.4771704	0
2	12.1913204	1
2	12.2913204	0
2	12.3150514	1
2	12.4150514	0
2	12.4278374	1
2	12.5278374	0
2	12.5354954	1
2	12.6354954	0
2	12.9096874	1
2	13.0096874	0
2	13.3209554	1
2	13.4209554	0
2	13.7505944	1
2	13.8315924	1
2	13.9315924	0
2	14.2027484	1
2	14.3027484	0
2	14.3713834	1
2	14.4713834	0
2	14.7563734	1
2	14.8563734	0
2	14.8570194	1
2	14.9570194	0
2	15.2922724	1
2	15.3922724	0
2	15.8430204	1
2	15.9430204	0
2	16.1249724	1
2	16.1782584	1
2	16.2782584	0
2	16.5853334	1
2	16.6853334	0
2	16.7050614	1
2	16.8050614	0
2	16.9804354	1
2	17.0804354	0
2	17.1816424	1
2	17.2816424	0
2	17.3169194	1
2	17.4169194	0
2	18.0100954	1
2	18.1100954	0
2	18.2734974	1
2	18.3734974	0
2	18.6566264	1
2	18.7566264	0
2	18.8172454	1
2	18.9172454	0
2	20.0813884	1
2	20.1813884	0
2	20.2968984	1
2	20.3968984	0
2	20.5483274	1
2	20.6483274	0
2	20.9434294	1
2	21.0392114	1
2	21.1392114	0
2	21.4103674	1
2	21.5103674	0
2	21.8665724	1
2	21.9665724	0
2	22.4041094	1
2	22.5041094	0
2	22.5977474	1
2	22.6977474	0
2	23.5894154	1
2	23.6894154	0
2	23.8647894	1
2	23.9647894	0
2	24.2479184	1
2	24.3479184	0
2	24.3796194	1
2	24.4796194	0
2	24.6888614	1
2	24.7866944	1
2	24.8866944	0
2	24.9782584	1
2	25.0782584	0
2	25.1339054	1
2	25.2339054	0
2	25.4691434	1
2	25.5691434	0
2	25.6916714	1
2	25.7916714	0
2	25.7988114	1
2	25.8988114	0
2	26.1875104	1
2	26.2875104	0
2	26.5227484	1
2	26.6227484	0
2	26.8220684	1
2	26.9220684	0
2	27.1009914	1
2	27.2009914	0
2	27.2092134	1
2	27.3092134	0
2	28.6539054	1
2	28.7539054	0
2	28.8555384	1
2	28.9555384	0
2	29.2764904	1
2	29.3764904	0
2	29.8392114	1
2	29.9392114	0
2	30.1744494	1
2	30.2744494	0
2	30.3537254	1
2	30.4537254	0
2	30.7611164	1
2	30.8611164	0
2	31.1847124	1
2	31.2847124	0
2	31.7069664	1
2	31.8069664	0
2	31.9823404	1
2	32.0823404	0
2	32.3775904	1
2	32.4775904	0
2	33.1915924	1
2	33.2915924	0
2	33.4658944	1
2	33.5658944	0
2	33.5866944	1
2	33.6705034	1
2	33.7705034	0
2	34.0775784	1
2	34.1775784	0
2	34.2451974	1
2	34.3451974	0
2	34.4726804	1
2	34.5684634	1
2	34.6684634	0
2	34.7251894	1
2	34.8251894	0
2	34.9359684	1
2	35.0359684	0
2	36.4990384	1
2	36.5866974	1
2	36.6866974	0
2	36.9630204	1
2	37.0630204	0
2	37.1545854	1
2	37.2545854	0
2	37.3092894	1
2	37.4092894	0
2	37.6848174	1
2	37.7848174	0
2	37.8729524	1
2	37.9729524	0
2	38.0506054	1
2	38.1270404	1
2	38.2270404	0
2	38.5314564	1
2	38.6314564	0
2	38.7110484	1
2	38.8110484	0
2	39.0103674	1
2	39.1103674	0
2	39.6090074	1
2	39.7090074	0
2	39.7885994	1
2	39.8885994	0
2	40.0041094	1
2	40.1041094	0
2	40.2555374	1
2	40.3555374	0
2	40.8422044	1
2	40.9422044	0
2	41.4528164	1
2	41.5528164	0
2	41.7985404	1
2	41.8985404	0
2	42.7219324	1
2	42.8219324	0
2	42.8468034	1
2	42.9468034	0
2	43.2607074	1
2	43.3607074	0
2	43.4437824	1
2	43.5437824	0
2	43.6191014	1
2	43.6677824	1
2	43.7677824	0
2	44.2065584	1
2	44.2903674	1
2	44.3903674	0
2	44.5548144	1
2	44.6548144	0
2	44.8416004	1
2	44.9416004	0
2	45.3433954	1
2	45.4433954	0
2	45.8588034	1
2	45.9588034	0
2	46.1940414	1
2	46.2940414	0
2	46.4215244	1
2	46.5215244	0
2	46.6729524	1
2	46.7729524	0
2	47.1039734	1
2	47.2039734	0
2	47.4631564	1
2	47.5631564	0
		1
		1
		1
		1
2	47.6700554	1
2	47.7624764	1
2	47.8624764	0
2	48.1934974	1
2	48.2934974	0
2	48.5287354	1
2	48.6287354	0
2	50.2168984	1
2	50.3168984	0
2	50.5641094	1
2	50.6641094	0
2	50.6958104	1
2	50.7958104	0
2	50.9951294	1
2	51.0951294	0
2	51.1747214	1
2	51.2747214	0
2	51.5339054	1
2	51.6339054	0
2	52.1325444	1
2	52.1874444	1
2	52.2874444	0
2	52.4438374	1
2	52.5438374	0
2	52.6592904	1
2	52.7592904	0
2	52.9445924	1
2	53.0445924	0
2	54.0841094	1
2	54.1841094	0
2	54.2320244	1
2	54.3320244	0
2	54.3954014	1
2	54.4954014	0
2	54.5989394	1
2	54.6989394	0
2	55.1504224	1
2	55.2504224	0
2	55.3053334	1
2	55.4053334	0
2	55.6284084	1
2	55.7284084	0
2	55.7602994	1
2	55.8602994	0
2	55.9398914	1
2	56.0398914	0
2	56.1793474	1
2	56.2793474	0
2	56.8617964	1
2	56.9617964	0
2	56.9934974	1
2	57.0934974	0
2	57.2449254	1
2	57.3449254	0
2	57.6156304	1
2	57.7156304	0
2	57.8794834	1
2	57.9794834	0
2	58.0111844	1
2	58.1111844	0
2	58.1660754	1
2	58.2660754	0
2	58.5156304	1
2	58.6156304	0
2	58.6816604	1
2	58.7816604	0
2	58.8612524	1
2	58.9612524	0
2	59.1485994	1
2	59.2485994	0
2	59.2511584	1
2	59.3511584	0
2	59.6873744	1
2	59.7873744	0
3	0.478723402	1
3	0.578723402	0
3	0.986269787	1
3	1.086269787	0
3	1.201780787	1
3	1.301780787	0
3	1.501099787	1
3	1.601099787	0
3	1.604642787	1
3	1.704642787	0
3	1.836337787	1
3	1.936337787	0
3	2.183548787	1
3	2.283548787	0
3	2.315249787	1
3	2.415249787	0
3	2.602596787	1
3	2.702596787	0
3	2.842052787	1
3	2.942052787	0
3	2.961780787	1
3	3.061780787	0
3	3.143827787	1
3	3.243827787	0
3	3.332936787	1
3	3.432936787	0
3	3.716065787	1
3	3.816065787	0
3	4.506269787	1
3	4.606269787	0
3	4.611587787	1
3	4.711587787	0
3	4.721780787	1
3	4.821780787	0
3	4.889399787	1
