passage	time	value
1	0.046	1
1	0.562721	2
1	0.784543	3
1	1.256929	4
1	1.352925	5
1	1.616327	6
1	2.310749	7
1	2.799918	8
1	2.938712	9
1	3.30449	10
1	3.484082	11
1	3.654596	12
1	4.106667	13
1	4.274286	14
1	4.398799	15
1	4.785961	16
1	4.908844	17
1	5.034329	18
1	5.435647	19
1	5.890613	20
1	6.051306	21
1	7.147755	1
1	7.380186	2
1	7.4995	3
1	7.957925	4
		5
1	8.261225	6
1	8.560545	7
1	8.776055	8
1	8.88381	9
1	9.231021	10
1	9.31483	11
1	9.709932	12
1	9.961361	13
1	10.811429	14
1	10.926947	15
1	11.014966	16
1	11.29034	17
1	11.422041	18
1	11.928449	19
1	12.033452	20
1	12.882923	21
1	13.013482	22
1	13.777672	23
1	13.943927	24
1	14.110704	25
1	14.226852	26
1	14.407012	27
1	14.726531	28
1	14.822313	29
1	15.034115	30
1	15.430794	1
1	15.847213	2
1	16.232225	3
1	16.567652	4
1	17.109154	5
1	17.266659	6
1	19.526536	1
1	19.721958	2
1	19.926131	3
1	20.17415	4
1	20.928436	5
1	21.024218	6
1	21.269652	7
1	21.50313	8
1	22.165075	9
1	22.413062	10
1	22.641249	11
1	22.736327	12
1	22.927891	13
1	23.382857	14
1	23.51412	15
1	23.598368	16
1	23.897687	17
1	24.161089	18
1	24.364626	19
1	24.483259	20
1	24.735783	21
1	25.059048	22
1	25.541189	23
1	25.680794	24
1	26.878912	25
1	27.142313	26
1	27.314162	27
1	27.776871	28
1	27.884626	29
1	28.255783	30
1	28.376346	31
1	28.818504	32
1	29.297415	33
1	29.477007	34
1	29.608708	35
1	29.872109	36
1	29.95905	37
1	30.36463	38
1	30.458776	39
1	30.840804	40
1	31.021497	41
1	31.177122	42
1	31.512381	43
1	31.586956	44
1	32.833264	1
1	33.035638	2
1	34.074558	3
1	34.190765	4
1	34.565443	5
1	34.972517	6
1	35.140136	7
1	35.511293	8
1	35.945261	9
1	36.157823	10
1	36.564898	11
1	36.768436	12
1	38.468572	1
1	38.632328	2
1	38.80381	3
1	39.174966	4
1	39.468477	5
1	40.04898	6
1	40.773225	7
1	40.934966	8
1	41.820953	9
1	42.042964	10
1	42.204082	11
1	42.611157	12
1	42.802721	13
1	42.900757	14
1	43.133433	15
1	43.473198	16
1	43.784524	17
1	43.954431	18
1	44.059864	19
1	44.155647	20
1	44.466939	21
1	44.632655	22
1	44.802177	23
1	44.909932	24
1	45.258174	25
1	45.496599	26
1	45.689575	27
1	46.805793	28
1	46.935658	29
1	47.651701	30
1	47.771429	31
1	48.307503	32
1	48.372361	33
1	48.573606	34
		35
1	48.718395	36
1	50.06082	37
1	50.180945	38
1	50.361373	39
1	50.602707	40
1	50.724997	41
1	51.051973	42
1	51.722449	43
1	51.818232	44
1	52.213334	45
1	52.333062	46
1	52.553259	1
1	52.92836	2
1	53.150214	3
1	53.386667	4
1	53.557126	5
1	53.793742	6
1	54.12898	7
1	54.368436	8
1	54.691701	1
1	54.823402	2
1	55.050885	3
1	55.146667	4
1	55.626219	5
1	55.734441	6
1	55.885951	7
1	56.195464	8
1	56.439728	9
2	0.479839572	10
2	0.592424402	11
2	0.810806402	12
2	0.912952402	13
2	1.415810402	14
2	1.918667402	15
2	2.385605402	16
2	2.557777402	17
2	3.211728402	18
2	3.431803402	19
2	3.595218402	20
2	3.790771402	21
2	4.384907402	22
2	5.637331402	23
2	5.747717402	24
2	6.073224402	25
2	6.286257402	26
2	6.887374402	27
2	6.992943402	28
2	7.150775402	29
2	7.541223402	30
2	8.467782402	31
2	8.946694402	32
