passage	time	value
1	0.046	1
1	0.562721	1
1	0.784543	1
1	1.256929	1
1	1.352925	1
1	1.616327	1
1	2.310749	1
1	2.799918	1
1	2.938712	1
1	3.30449	1
1	3.484082	1
1	3.654596	1
1	4.106667	1
1	4.274286	1
1	4.398799	1
1	4.785961	1
1	4.908844	1
1	5.034329	1
1	5.435647	1
1	5.890613	1
1	6.051306	1
1	7.147755	2
1	7.380186	2
1	7.4995	2
1	7.957925	2
		2
1	8.261225	2
1	8.560545	2
1	8.776055	2
1	8.88381	2
1	9.231021	2
1	9.31483	2
1	9.709932	2
1	9.961361	2
1	10.811429	2
1	10.926947	2
1	11.014966	2
1	11.29034	2
1	11.422041	2
1	11.928449	2
1	12.033452	2
1	12.882923	2
1	13.013482	2
1	13.777672	2
1	13.943927	2
1	14.110704	2
1	14.226852	2
1	14.407012	2
1	14.726531	2
1	14.822313	2
1	15.034115	2
1	15.430794	3
1	15.847213	3
1	16.232225	3
1	16.567652	3
1	17.109154	3
1	17.266659	3
1	19.526536	4
1	19.721958	4
1	19.926131	4
1	20.17415	4
1	20.928436	4
1	21.024218	4
1	21.269652	4
1	21.50313	4
1	22.165075	4
1	22.413062	4
1	22.641249	4
1	22.736327	4
1	22.927891	4
1	23.382857	4
1	23.51412	4
1	23.598368	4
1	23.897687	4
1	24.161089	4
1	24.364626	4
1	24.483259	4
1	24.735783	4
1	25.059048	4
1	25.541189	4
1	25.680794	4
1	26.878912	4
1	27.142313	4
1	27.314162	4
1	27.776871	4
1	27.884626	4
1	28.255783	4
1	28.376346	4
1	28.818504	4
1	29.297415	4
1	29.477007	4
1	29.608708	4
1	29.872109	4
1	29.95905	4
1	30.36463	4
1	30.458776	4
1	30.840804	4
1	31.021497	4
1	31.177122	4
1	31.512381	4
1	31.586956	4
1	32.833264	5
1	33.035638	5
1	34.074558	5
1	34.190765	5
1	34.565443	5
1	34.972517	5
1	35.140136	5
1	35.511293	5
1	35.945261	5
1	36.157823	5
1	36.564898	5
1	36.768436	5
1	38.468572	6
1	38.632328	6
1	38.80381	6
1	39.174966	6
1	39.468477	6
1	40.04898	6
1	40.773225	6
1	40.934966	6
1	41.820953	6
1	42.042964	6
1	42.204082	6
1	42.611157	6
1	42.802721	6
1	42.900757	6
1	43.133433	6
1	43.473198	6
1	43.784524	6
1	43.954431	6
1	44.059864	6
1	44.155647	6
1	44.466939	6
1	44.632655	6
1	44.802177	6
1	44.909932	6
1	45.258174	6
1	45.496599	6
1	45.689575	6
1	46.805793	6
1	46.935658	6
1	47.651701	6
1	47.771429	6
1	48.307503	6
1	48.372361	6
1	48.573606	6
		6
1	48.718395	6
1	50.06082	6
1	50.180945	6
1	50.361373	6
1	50.602707	6
1	50.724997	6
1	51.051973	6
1	51.722449	6
